time,latitude,longitude,altitude,speed,bearing,num_of_satellites,HDOP
51901,5441.7283,2518.4308,-13.3,28.83,37.71,5,1.83
51901,5441.7283,2518.4308,-13.3,28.86,37.11,5,1.83
51902,5441.7344,2518.4391,-13.5,28.86,37.11,5,1.83
51902,5441.7344,2518.4391,-13.5,29.44,38.39,5,1.83
51903,5441.7408,2518.4478,-14.3,29.44,38.39,6,1.41
51903,5441.7408,2518.4478,-14.3,29.6,40.19,6,1.41
51904,5441.7473,2518.4571,-15,29.6,40.19,6,1.41
51904,5441.7473,2518.4571,-15,30.43,43.29,6,1.41
51905,5441.7535,2518.4668,-15.4,30.43,43.29,6,1.1
51905,5441.7535,2518.4668,-15.4,30.43,41.88,6,1.1
51906,5441.7599,2518.4762,-15.8,30.43,41.88,7,1.15
51906,5441.7599,2518.4762,-15.8,30.76,39.51,7,1.15
51907,5441.7666,2518.4856,-16,30.76,39.51,6,1.41
51907,5441.7666,2518.4856,-16,30.43,37.8,6,1.41
51908,5441.7731,2518.4945,-16,30.43,37.8,7,1.15
51908,5441.7731,2518.4945,-16,31.83,35.58,7,1.15
51909,5441.78,2518.5034,-16.1,31.83,35.58,7,1.15
51909,5441.78,2518.5034,-16.1,33.45,31.83,7,1.15
51910,5441.7875,2518.5119,-16.1,33.45,31.83,7,1.03
51910,5441.7875,2518.5119,-16.1,33.69,27.53,7,1.03
51911,5441.7953,2518.5191,-15.7,33.69,27.53,7,1.03
51911,5441.7953,2518.5191,-15.7,34.36,25.18,7,1.03
51912,5441.8037,2518.5258,-15.7,34.36,25.18,7,1.03
51912,5441.8037,2518.5258,-15.7,34.86,21.43,7,1.03
51913,5441.8124,2518.5317,-15.7,34.86,21.43,7,1.03
51913,5441.8124,2518.5317,-15.7,37.04,15.6,7,1.03
51914,5441.8215,2518.5362,-15.6,37.04,15.6,7,1.03
51914,5441.8215,2518.5362,-15.6,36.55,11.25,7,1.03
51915,5441.8311,2518.5383,-15.6,36.55,11.25,7,1.15
51915,5441.8311,2518.5383,-15.6,36.11,8.39,7,1.15
51916,5441.8409,2518.5395,-15.5,36.11,8.39,7,1.15
51916,5441.8409,2518.5395,-15.5,38.5,7.23,7,1.15
51917,5441.851,2518.54,-15,38.5,7.23,7,1.03
51917,5441.851,2518.54,-15,39.22,6.07,7,1.03
51918,5441.8615,2518.54,-14.5,39.22,6.07,7,1.03
51918,5441.8615,2518.54,-14.5,38.71,1.61,7,1.03
51919,5441.8764,2518.5261,-13.3,38.71,1.61,7,1.34
51919,5441.8764,2518.5261,-13.3,39.98,3.59,7,1.34
51920,5441.8862,2518.5247,-10.7,39.98,3.59,8,0.94
51920,5441.8862,2518.5247,-10.7,40.88,4.41,8,0.94
51921,5441.8966,2518.5249,-8.4,40.88,4.41,8,1
51921,5441.8966,2518.5249,-8.4,41.16,4.2,8,1
51922,5441.9075,2518.5248,-6,41.16,4.2,8,0.94
51922,5441.9075,2518.5248,-6,41.61,5.26,8,0.94
51923,5441.9184,2518.5252,-3.7,41.61,5.26,8,1
51923,5441.9184,2518.5252,-3.7,41.96,3.78,8,1
51924,5441.9295,2518.5255,-1.3,41.96,3.78,8,1
51924,5441.9295,2518.5255,-1.3,42.4,4.51,8,1
51925,5441.9407,2518.5259,1,42.4,4.51,8,1
51925,5441.9407,2518.5259,1,42.1,3.89,8,1
51926,5441.9519,2518.5266,2.7,42.1,3.89,8,1
51926,5441.9519,2518.5266,2.7,41.83,3.49,8,1
51927,5441.963,2518.5268,3.8,41.83,3.49,8,0.94
51927,5441.963,2518.5268,3.8,40.8,3.78,8,0.94
51928,5441.9743,2518.5278,4.8,40.8,3.78,8,0.94
51928,5441.9743,2518.5278,4.8,39.48,4.29,8,0.94
51929,5441.9852,2518.5292,5.6,39.48,4.29,8,1
51929,5441.9852,2518.5292,5.6,39.82,5.12,8,1
51930,5441.9957,2518.5305,7,39.82,5.12,8,0.94
51930,5441.9957,2518.5305,7,41.15,6.48,8,0.94
51931,5442.0066,2518.5322,8.1,41.15,6.48,8,1
51931,5442.0066,2518.5322,8.1,41.44,7.57,8,1
51932,5442.0175,2518.5337,9.2,41.44,7.57,8,0.94
51932,5442.0175,2518.5337,9.2,42.69,8.44,8,0.94
51933,5442.0288,2518.5364,9.8,42.69,8.44,8,0.94
51933,5442.0288,2518.5364,9.8,43.3,8.05,8,0.94
51934,5442.0404,2518.5401,10.4,43.3,8.05,8,1
51934,5442.0404,2518.5401,10.4,42.98,7.21,8,1
51935,5442.0521,2518.5425,11.6,42.98,7.21,8,0.94
51935,5442.0521,2518.5425,11.6,43.6,7.6,8,0.94
51936,5442.0638,2518.5453,12.5,43.6,7.6,8,0.94
51936,5442.0638,2518.5453,12.5,43.58,8.38,8,0.94
51937,5442.0754,2518.5481,12.8,43.58,8.38,8,0.94
51937,5442.0754,2518.5481,12.8,43.1,11.03,8,0.94
51938,5442.087,2518.5529,13,43.1,11.03,8,0.94
51938,5442.087,2518.5529,13,43.07,12.01,8,0.94
51939,5442.0985,2518.5578,13.2,43.07,12.01,8,0.94
51939,5442.0985,2518.5578,13.2,42.53,12.74,8,0.94
51940,5442.11,2518.5632,13.3,42.53,12.74,8,0.94
51940,5442.11,2518.5632,13.3,41.31,12.94,8,0.94
51941,5442.121,2518.5687,13.4,41.31,12.94,8,0.94
51941,5442.121,2518.5687,13.4,40.8,12.43,8,0.94
51942,5442.132,2518.5744,13.2,40.8,12.43,8,0.94
51942,5442.132,2518.5744,13.2,40.74,11.35,8,0.94
51943,5442.1431,2518.5778,14,40.74,11.35,7,1.01
51943,5442.1431,2518.5778,14,40.03,10.12,7,1.01
51944,5442.154,2518.5807,14.9,40.03,10.12,6,1.14
51944,5442.154,2518.5807,14.9,39.81,9.04,6,1.14
51945,5442.1648,2518.583,15.7,39.81,9.04,6,1.14
51945,5442.1648,2518.583,15.7,39.15,10.31,6,1.14
51946,5442.1755,2518.5866,15.8,39.15,10.31,6,1.14
51946,5442.1755,2518.5866,15.8,38.56,9.97,6,1.14
51947,5442.1858,2518.5907,15.7,38.56,9.97,7,1.01
51947,5442.1858,2518.5907,15.7,38.26,10.24,7,1.01
51948,5442.1963,2518.5935,16.6,38.26,10.24,8,0.94
51948,5442.1963,2518.5935,16.6,38.08,10.72,8,0.94
51949,5442.2052,2518.597,16.8,38.08,10.72,7,1.05
51949,5442.2052,2518.597,16.8,33.24,12.27,7,1.05
51950,5442.2138,2518.6011,17.4,33.24,12.27,9,0.86
51950,5442.2138,2518.6011,17.4,30.2,13.05,9,0.86
51951,5442.2218,2518.6044,17.6,30.2,13.05,9,0.94
51951,5442.2218,2518.6044,17.6,28.23,13.14,9,0.94
51952,5442.2294,2518.6079,17.8,28.23,13.14,8,0.92
51952,5442.2294,2518.6079,17.8,26.31,14.02,8,0.92
51953,5442.2363,2518.6114,17.3,26.31,14.02,8,0.92
51953,5442.2363,2518.6114,17.3,24.6,13.44,8,0.92
51954,5442.2426,2518.6119,17.1,24.6,13.44,9,0.86
51954,5442.2426,2518.6119,17.1,24.09,13.45,9,0.86
51955,5442.2503,2518.6133,19.1,24.09,13.45,9,0.86
51955,5442.2503,2518.6133,19.1,23.07,13.13,9,0.86
51956,5442.2562,2518.6163,19.5,23.07,13.13,9,0.86
51956,5442.2562,2518.6163,19.5,23.5,11.45,9,0.86
51957,5442.2622,2518.6188,20.3,23.5,11.45,9,0.94
51957,5442.2622,2518.6188,20.3,22.65,12.25,9,0.94
51958,5442.2682,2518.6214,21.3,22.65,12.25,9,0.86
51958,5442.2682,2518.6214,21.3,20.12,13.87,9,0.86
51959,5442.2736,2518.6242,22.6,20.12,13.87,8,0.94
51959,5442.2736,2518.6242,22.6,18.33,14.2,8,0.94
52000,5442.2785,2518.6269,23.8,18.33,14.2,9,0.94
52000,5442.2785,2518.6269,23.8,15.74,14.58,9,0.94
52001,5442.2826,2518.629,25.1,15.74,14.58,9,0.86
52001,5442.2826,2518.629,25.1,12.45,12.15,9,0.86
52002,5442.2864,2518.6299,27.3,12.45,12.15,9,0.86
52002,5442.2864,2518.6299,27.3,8.91,9.21,9,0.86
52003,5442.2889,2518.6308,27.3,8.91,9.21,9,0.86
52003,5442.2889,2518.6308,27.3,6.47,6.83,9,0.86
52004,5442.2907,2518.6314,27.3,6.47,6.83,9,0.86
52004,5442.2907,2518.6314,27.3,3.56,353.57,9,0.86
52005,5442.2915,2518.6314,27.2,3.56,353.57,9,0.86
52005,5442.2915,2518.6314,27.2,2.3,353.57,9,0.86
52006,5442.2918,2518.6312,27.1,2.3,353.57,9,0.86
52006,5442.2918,2518.6312,27.1,0.1,353.57,9,0.86
52007,5442.2917,2518.6311,27,0.1,353.57,8,0.92
52007,5442.2917,2518.6311,27,0,353.57,8,0.92
52008,5442.2914,2518.6311,27,0,353.57,8,0.92
52008,5442.2914,2518.6311,27,0,353.57,8,0.92
52009,5442.2913,2518.631,27,0,353.57,8,0.92
52009,5442.2913,2518.631,27,0,353.57,8,0.92
52010,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52010,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52011,5442.2914,2518.6309,27.1,0,353.57,8,0.92
52011,5442.2914,2518.6309,27.1,0,353.57,8,0.92
52012,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52012,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52013,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52013,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52014,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52014,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52015,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52015,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52016,5442.2914,2518.6309,27.1,0,353.57,9,0.86
52016,5442.2914,2518.6309,27.1,0,353.57,9,0.86
