latitude,longitude,altitude
5441.7344,2518.4391,-13.5
5441.7408,2518.4478,-14.3
5441.7473,2518.4571,-15.0
5441.7535,2518.4668,-15.4
5441.7599,2518.4762,-15.8
5441.7666,2518.4856,-16.0
5441.7731,2518.4945,-16.0
5441.78,2518.5034,-16.1
5441.7875,2518.5119,-16.1
5441.7953,2518.5191,-15.7
5441.8037,2518.5258,-15.7
5441.8124,2518.5317,-15.7
5441.8215,2518.5362,-15.6
5441.8311,2518.5383,-15.6
5441.8409,2518.5395,-15.5
5441.851,2518.54,-15.0
5441.8615,2518.54,-14.5
5441.8764,2518.5261,-13.3
5441.8862,2518.5247,-10.7
5441.8966,2518.5249,-8.4
5441.9075,2518.5248,-6.0
5441.9184,2518.5252,-3.7
5441.9295,2518.5255,-1.3
5441.9407,2518.5259,1.0
5441.9519,2518.5266,2.7
5441.963,2518.5268,3.8
5441.9743,2518.5278,4.8
5441.9852,2518.5292,5.6
5441.9957,2518.5305,7.0
5442.0066,2518.5322,8.1
5442.0175,2518.5337,9.2
5442.0288,2518.5364,9.8
5442.0404,2518.5401,10.4
5442.0521,2518.5425,11.6
5442.0638,2518.5453,12.5
5442.0754,2518.5481,12.8
5442.087,2518.5529,13.0
5442.0985,2518.5578,13.2
5442.11,2518.5632,13.3
5442.121,2518.5687,13.4
5442.132,2518.5744,13.2
5442.1431,2518.5778,14.0
5442.154,2518.5807,14.9
5442.1648,2518.583,15.7
5442.1755,2518.5866,15.8
5442.1858,2518.5907,15.7
5442.1963,2518.5935,16.6
5442.2052,2518.597,16.8
5442.2138,2518.6011,17.4
5442.2218,2518.6044,17.6
5442.2294,2518.6079,17.8
5442.2363,2518.6114,17.3
5442.2426,2518.6119,17.1
5442.2503,2518.6133,19.1
5442.2562,2518.6163,19.5
5442.2622,2518.6188,20.3
5442.2682,2518.6214,21.3
5442.2736,2518.6242,22.6
5442.2785,2518.6269,23.8
5442.2826,2518.629,25.1
5442.2864,2518.6299,27.3
5442.2889,2518.6308,27.3
5442.2907,2518.6314,27.3
5442.2915,2518.6314,27.2
5442.2918,2518.6312,27.1
5442.2917,2518.6311,27.0
5442.2914,2518.6311,27.0
5442.2913,2518.631,27.0
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
5442.2914,2518.6309,27.1
